,ClaimNumber,PolicyNumber,loss_date,insured_name
0,2017G0069314,19066573,9/20/2014,U B KLEM FURNITURE CO INC
1,2017G0091008,19065669,3/1/2008,HOMEWOOD BUILDING SUPPLY
2,2017G0091008,19065669,3/1/2008,HOMEWOOD BUILDING SUPPLY
3,2018G0016612,19066508,9/15/2012,CEDAR VALLEY MANUFACTURING INC
4,2018G0016612,19066508,9/15/2012,CEDAR VALLEY MANUFACTURING INC
5,2019G0006408,19065669,3/1/2008,HOMEWOOD BUILDING SUPPLY
6,2019G0006408,19065669,3/1/2008,HOMEWOOD BUILDING SUPPLY
7,2019G0038677,12172164,1/1/1977,BERRYMAN PRODUCTS INC
8,2019G0039369,12100660,4/29/1969,BERRYMAN PRODUCTS INC
9,2019G0077193,19061541,7/1/1993,"CRESCENT MATERIALS SERVICE, INC."
10,2019G0077193,19061541,7/1/1993,"CRESCENT MATERIALS SERVICE, INC."
11,2019G0092808,19065669,3/1/2008,HOMEWOOD BUILDING SUPPLY
12,2019G0092808,19065669,3/1/2008,HOMEWOOD BUILDING SUPPLY
13,2019G0102495,19060796,3/31/1995,"HARRY'S HARDWARE, INC."
14,2019G0102495,19060796,3/31/1995,"HARRY'S HARDWARE, INC."
15,2019G0104408,19065644,2/1/2008,MONSCHEIN INDUSTRIES INC
16,2019G0119111,19066425,6/22/2011,MC TRUSS INC
17,2020G0019608,19065669,3/1/2008,HOMEWOOD BUILDING SUPPLY
18,2020G0021608,19065669,3/1/2008,HOMEWOOD BUILDING SUPPLY
19,2020G0047069,12100660,4/29/1969,BERRYMAN PRODUCTS INC
20,2020G0054372,12106035,4/29/1972,BERRYMAN PRODUCTS INC
21,2020G0078409,19065644,2/1/2009,MONSCHEIN INDUSTRIES INC
22,2020G0097709,19065644,2/1/2009,MONSCHEIN INDUSTRIES INC
23,2021G0019109,19065644,2/1/2009,MONSCHEIN INDUSTRIES INC
24,2021G0035008,19065644,2/1/2008,MONSCHEIN INDUSTRIES INC
25,2021G0054269,12100660,4/29/1969,BERRYMAN PRODUCTS INC
26,2021G0079010,19065644,2/1/2010,MONSCHEIN INDUSTRIES INC
27,2021G0079210,19066290,11/1/2010,BLUE RIBBON STAIRS INC
28,2022G0015809,19065644,2/1/2009,MONSCHEIN INDUSTRIES INC
29,38076770,12100675,11/3/1970,BERRYMAN PRODUCTS INC
30,60529800,19063299,12/2/2000,"PENN SELECT HARDWOODS, INC."
31,63736412,19550791,12/18/2012,THE NELSON COMPANY
32,63820913,19064998,8/12/2013,"MID-AMERICA TRUSS, A DIVISION OF"
33,63827306,19065348,10/1/2006,INDIANA VENEERS CORP.
34,63911310,19065791,9/23/2010,MASTER WOODCRAFT CORPORATION
35,00003310,01H0400110,1/15/2010,HARTSELLE PLYWOOD INC.
36,04065310,21W0170209,4/26/2010,"WOODWORKS BY THOMAS, LLC"
37,04065310,21W0170209,4/26/2010,"WOODWORKS BY THOMAS, LLC"
38,04065310,21W0170209,4/26/2010,"WOODWORKS BY THOMAS, LLC"
39,15042201,13I0010109,10/1/2001,INDIANA VENEERS CORPORATION
40,15042201,13I0010109,10/1/2001,INDIANA VENEERS CORPORATION
41,2016A0024816,31M4590416,11/21/2016,"METROPOLITAN LUMBER CO., INC. ROBERT GAN"
42,2016A0024816,31M4590416,11/21/2016,"METROPOLITAN LUMBER CO., INC. ROBERT GAN"
43,2016A0024816,31M4590416,11/21/2016,"METROPOLITAN LUMBER CO., INC. ROBERT GAN"
44,2016A0024816,31M4590416,11/21/2016,"METROPOLITAN LUMBER CO., INC. ROBERT GAN"
45,2016A0042416,31M4590416,3/12/2016,"METROPOLITAN LUMBER CO., INC. ROBERT GAN"
46,2016G0006815,31C5140215,8/26/2015,CERTIFIED LUMBER CORPORATION  BORO PARK
47,2017A0004317,29U0330716,1/3/2017,"US LBM HOLDINGS, LLC BELLEVUE BUILDERS S"
48,2017A0013316,17B0170215,11/22/2016,"BARNES LUMBER COMPANY, INC."
49,2017A0013316,17B0170215,11/22/2016,"BARNES LUMBER COMPANY, INC."
50,2017A0013316,17B0170215,11/22/2016,"BARNES LUMBER COMPANY, INC."
51,2017A0013316,17B0170215,11/22/2016,"BARNES LUMBER COMPANY, INC."
52,2017A0033817,39R2470217,1/26/2017,RNA INVESTMENTS LLC AND X-PRESS TRANSFER
53,2017A0067817,04L0010217,2/6/2017,LATHROP WOODWORKS LATHROP EQUIPMENT RENT
54,2017A0070315,24G0070415,11/24/2015,MILLMAN LUMBER COMPANY GREAT CENTRAL LUM
55,2017A0094217,42M0190216,3/7/2017,"MG BUILDING MATERIALS, LTD."
56,2017A0094217,42M0190216,3/7/2017,"MG BUILDING MATERIALS, LTD."
57,2017A0098417,21T0210516,3/30/2017,"NACS USA, INC. (HIGHEST LEVEL NORTH AMER"
58,2017A0109517,31L3110617,4/20/2017,"LAPP MANAGEMENT CORP. WOOD-TEX, LLC RIVE"
59,2017A0160217,09S3080218,6/10/2017,SCOSTA CORPORATION LAKE CORP OF THE PALM
60,2017A0176617,29U0330716,6/26/2017,"US LBM HOLDINGS, LLC BELLEVUE BUILDERS S"
61,2017A0190717,21T0210516,7/11/2017,"NACS USA, INC. (HIGHEST LEVEL NORTH AMER"
62,2017A0190717,21T0210516,7/11/2017,"NACS USA, INC. (HIGHEST LEVEL NORTH AMER"
63,2017A0190717,21T0210516,7/11/2017,"NACS USA, INC. (HIGHEST LEVEL NORTH AMER"
64,2017A0190717,21T0210516,7/11/2017,"NACS USA, INC. (HIGHEST LEVEL NORTH AMER"
65,2017A0248217,37M2381716,9/5/2017,"MARVIC SUPPLY CO., INC., FRANKLIN A. TER"
66,2017A0248217,37M2381716,9/5/2017,"MARVIC SUPPLY CO., INC., FRANKLIN A. TER"
67,2017A0259717,43N0010217,9/8/2017,"NATIONAL WOOD PRODUCTS, INC."
68,2017A0273917,29R1670217,10/2/2017,RPI INDUSTRY INC; REGAL PINNACLE ARCHITE
69,2017A0283417,04L0010217,10/9/2017,LATHROP WOODWORKS LATHROP EQUIPMENT RENT
70,2017A0287617,09A1680316,10/13/2017,AMERICAN BUILDERS SUPPLY INC.
71,2017A0287617,09A1680316,10/13/2017,AMERICAN BUILDERS SUPPLY INC.
72,2017A0287617,09A1680316,10/13/2017,AMERICAN BUILDERS SUPPLY INC.
73,2017A0319617,31K1700217,11/10/2017,"KLEET LUMBER COMPANY, INC. KLEET SUPPLY"
74,2017A0319617,31K1700217,11/10/2017,"KLEET LUMBER COMPANY, INC. KLEET SUPPLY"
75,2017A0325617,01H0380217,11/13/2017,"HARPER CHAMBERS LUMBER CO., INC. HARPER"
76,2017A0351317,37A1670518,12/5/2017,"AMBRIDGE LUMBER & BUILDERS SUPPLY, INC."
77,2017G0028017,31R2120816,2/21/2017,RIVERHEAD BUILDING SUPPLY CORP. RIVERHEA
78,2017G0052417,01C0700417,5/16/2017,"CONSTRUCTION MATERIALS, INC. COMMERCIAL"
79,2017G0054117,31W2950117,4/18/2017,"WOLSKI WOOD WORKS, INC."
80,2017G0057114,31J0590513,7/17/2014,J.M.P. DISPLAY FIXTURE CORP. ; J. M. P.
81,2017G0062617,31H2850116,6/20/2017,"HEPHAISTOS BUILDING SUPPLIES, INC.; HERM"
82,2017G0074216,31N1870116,7/18/2016,"NEW YORK BUILDERS OF STAIRS, INC."
83,2017G0074216,31N1870116,7/18/2016,"NEW YORK BUILDERS OF STAIRS, INC."
84,2017G0079217,24H0240117,4/4/2017,"HEARTLAND WOOD PRODUCTS, INC."
85,2017G0082815,31S5790115,10/20/2015,"STAIR USA, INC."
86,2017G0098717,31M5940118,10/10/2017,"MAC-LAD CORP., CHIKERAY REALTY LLC"
87,2017G0099617,38B0010117,8/13/2017,"BUILDERS SURPLUS, INC. AND SANDRA DEE LL"
88,2018A0019718,26H0030118,1/18/2018,HERITAGE HOMES OF NEBRASKA INC HERITAGE
89,2018A0019718,26H0030118,1/18/2018,HERITAGE HOMES OF NEBRASKA INC HERITAGE
90,2018A0034618,31M5570217,1/26/2018,"MODERN KITCHEN & BATH DESIGNS INC., SIGN"
91,2018A0037618,22G0070817,1/25/2018,GRUBER PALLETS INC
92,2018A0044218,45M1210417,2/8/2018,"MUSSER LUMBER COMPANY, INC. SOUTHEAST TR"
93,2018A0088118,41S0740517,3/19/2018,SHOUN LUMBER LLC SHOUN LUMBER TRUCKING L
94,2018A0148618,05K0020617,5/1/2018,"KODIAK BP, LLC KODIAK BUILDING PARTNERS,"
95,2018A0149718,42W0170218,5/17/2018,"WARD TIMBER LTD., JBJ GENERAL PARTNER, L"
96,2018A0149718,42W0170218,5/17/2018,"WARD TIMBER LTD., JBJ GENERAL PARTNER, L"
97,2018A0149718,42W0170218,5/17/2018,"WARD TIMBER LTD., JBJ GENERAL PARTNER, L"
98,2018A0149718,42W0170218,5/17/2018,"WARD TIMBER LTD., JBJ GENERAL PARTNER, L"
99,2018A0163218,29G0780918,5/30/2018,GARDEN STATE LUMBER PRODUCTS CORP.  SYBR
100,2018A0177018,31F3330718,6/5/2018,FLORENCE CORPORATION AMAGANSETT BUILDING
101,2018A0200218,31N2150618,6/27/2018,"S&K DISTRIBUTION, LLC NEW CASTLE BUILDIN"
102,2018A0200218,31N2150618,6/27/2018,"S&K DISTRIBUTION, LLC NEW CASTLE BUILDIN"
103,2018A0207318,42M0190218,7/2/2018,"MG BUILDING MATERIALS, LTD. GROTHUES BRO"
104,2018A0228318,29U0331017,7/9/2018,"US LBM HOLDINGS, LLC BELLEVUE BUILDERS S"
